( 17
) 17
[ 17
] 17
-> 17
-- 16
++ 16
! 15
* 13
/ 13
% 13
+ 12
- 12
<< 11
>> 11
>>= 10
<<= 10
== 9
!= 9
& 8
^ 7
| 6
&& 5
|| 4
? 3
= 2
+= 2
-= 2
*= 2
/= 2
%= 2
^= 2
, 1
END
